年份,特材代碼,特材代碼前五碼,核價類別名稱,中英文品名,產品型號/規格,單位,支付點數,申請者簡稱,許可證字號
111, CEE01NVC22Q4,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""尼得立斯""藥物準備系統輸液接頭-免針二代接頭插入針(無氣孔) ""NEEDLELESS"" DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE",IVC202；IVC202;(IVC207;IVC208自1090901生效)；IVC202;(IVC207;IVC208自1090901生效)(IVC212;IVC217;IVC218自1100101生效), 個,70.0,尼得立斯,衛部醫器製字第005723號
111, CEE01NVC23Q4,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""尼得立斯""藥物準備系統輸液接頭-免針二代接頭插入針(卡式、取藥)""NEEDLELESS"" DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE",IVC203;IVC205；IVC203;IVC205(IVC213;IVC215自1100101生效), 個,70.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH701U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""愛西優""可來福藥物準備系統組件-可來福藥瓶轉接頭 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH-70, 個,70.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH720U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針), “愛西優”可來福藥物準備系統組件-可來福藥瓶轉接頭“ICU” CHEMOCLAVE DRUG PREPARATION SYSTEM,CH-72, 個,70.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH010U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""愛喜優""克萊福藥物準備系統組件-克萊福接頭""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM -BAG SPIKE CLAVE",CH-10, 個,70.0,森昌,衛部醫器輸字第028580號
111, CEE01CH100U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""ICU""CLAVE DRUG PREPARATION SYSTEM:ACCESS DEVICE IV BAG CLAVE CONNECTOR""愛喜優""克萊福藥物準備系統組件",CH-10, EA,70.0,森昌,衛署醫器輸字第020658號
111, CEE01CH700U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　CONNECTOR化療藥物準備系統組件-接頭(插入針)," ""愛喜優""克萊福藥物準備系統組件-克萊福藥瓶轉接頭""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM-LOCKING UNIVERSAL VENTED VIAL SPIKE，CLAVE",CH-70, 個,70.0,森昌,衛部醫器輸字第028580號
111, CEE01NET20Q4,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""尼得立斯""藥物準備系統輸液接頭-免針二代接頭插入針(有氣孔) ""NEEDLELESS"" DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE",IVC201;IVC204；IVC201;IVC204(IVC211自1100101生效), 個,70.0,尼得立斯,衛部醫器製字第005723號
111, CEE01NVC24Q4,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          , “尼得立斯”藥物準備系統輸液接頭- 取藥針(氣孔)“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE-VIAL ACCESS DEVICE (VENT),IVC206；IVC206(IVC209;IVC210;IVC216自1100101生效), 個,70.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH141U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""愛西優""可來福藥物準備系統組件-""愛西優""可來福藥物準備系統組件-可來福接頭+輸液袋接頭 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH-14, 個,70.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH151U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""愛西優""可來福藥物準備系統組件(玻璃瓶用) ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM-IV BAG ACCESS SPIKE CLAVE CHECK VALVE",CH-15, 個,70.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH510U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          , “愛西優”可來福藥物準備系統組件-可來福藥瓶轉接頭“ICU” CHEMOCLAVE DRUG PREPARATION SYSTEM-UNIVERSAL VENTED VIAL SPIKE， CLAVE,CH-51, 個,70.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH014U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""愛喜優""克萊福藥物準備系統:克萊福接頭+輸液袋接頭""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH-14, 個,70.0,森昌,衛部醫器輸字第028580號
111, CEE01CH015U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""愛喜優""克萊福藥物準備系統:克萊福接頭(含檢查閥""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH-15, 個,70.0,森昌,衛部醫器輸字第028580號
111, CEE01CH140U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""ICU""CLAVE DRUG PREPARATION SYSTEM""愛喜優""克萊福藥物準備系統-克萊福接頭+輸液袋接頭",CH-14, EA,70.0,森昌,衛署醫器輸字第020658號
111, CEE01CH150U2,CEE01,DRUG　PREPARATION　SYSTEM:IV　BAG　ACCESS　SPIKE　CHECK　VALVE化療藥物準備系統組件-插入針(藥瓶用)含檢查閥          ," ""ICU""CLAVE DRUG PREPARATION SYSTEM:IV BAG ACCESS SPIKE CLAVE CHECK VALVE）""愛喜優""克萊福藥物準備系統組件(玻璃瓶用)",CH-15, EA,70.0,森昌,衛署醫器輸字第020658號
111, CEE01NVC10Q4,CEE01,DRUG　PREPARATION　SYSTEM:BAG　SPIKE　ADAPTER　W/TUBING化療藥物準備系統組件-輸液管," ""尼得立斯""藥物準備系統輸液接頭-安全輸液管 ""NEEDLELESS"" DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE",IVC010;IVC011；IVC010;IVC011(IVC019自1100101生效), 個,134.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH334U2,CEE01,DRUG　PREPARATION　SYSTEM:BAG　SPIKE　ADAPTER　W/TUBING化療藥物準備系統組件-輸液管," ""愛西優""可來福藥物準備系統組件-含SPIROS輸液管 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3034;CH3176, 個,134.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH034U2,CEE01,DRUG　PREPARATION　SYSTEM:BAG　SPIKE　ADAPTER　W/TUBING化療藥物準備系統組件-輸液管," ""愛喜優""克萊福藥物準備系統組件-輸液管轉接頭SPIROS注射調節頭""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3034;CH3176, 個,134.0,森昌,衛部醫器輸字第028580號
111, CEE01CH303U2,CEE01,DRUG　PREPARATION　SYSTEM:BAG　SPIKE　ADAPTER　W/TUBING化療藥物準備系統組件-輸液管," ""ICU""CLAVE DRUG PREPARATION SYSTEM:5"" (13CM)BAG SPIKE ADAPTER W/SPIROS NON-DEHP TUBING""愛喜優""克萊福藥物準備系統組件",CH3034;CH3176, EA,134.0,森昌,衛署醫器輸字第020658號
111, CEE01CH125U2,CEE01,DRUG　PREPARATION　SYSTEM:W/4　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/4路輸液管含SPIROS接頭*4+SPIKE+輸液線," ""愛西優""可來福藥物準備系統組件-4路輸液管含無針密閉接頭+輸液線含SPIKE*1 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3225, 個,552.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH225U2,CEE01,DRUG　PREPARATION　SYSTEM:W/4　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/4路輸液管含SPIROS接頭*4+SPIKE+輸液線," ""ICU""CLAVE DRUG PREPARATION SYSTEM""愛喜優""克萊福藥物準備系統組件-4路輸液管含無針密閉接頭+輸液線含SPIKE*1",CH3225, 個,552.0,森昌,衛署醫器輸字第020658號
111, CEE01CH325U2,CEE01,DRUG　PREPARATION　SYSTEM:W/4　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/4路輸液管含SPIROS接頭*4+SPIKE+輸液線," ""愛喜優""克萊福藥物準備系統組件-4路輸液管含無針密閉接頭+輸液線含SPIKE*1""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3225, 個,552.0,森昌,衛部醫器輸字第028580號
111, CEE01NVC14Q4,CEE01,DRUG　PREPARATION　SYSTEM:W/3　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/3路輸液管含SPIROS接頭*3+SPIKE+輸液線, “尼得立斯”藥物準備系統輸液接頭- 一對三安全輸液管“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE- THREE WAYS  SAFETY INFUSION SET,IVC014；IVC014(IVC017;IVC022自1100101生效), 個,431.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH126U2,CEE01,DRUG　PREPARATION　SYSTEM:W/3　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/3路輸液管含SPIROS接頭*3+SPIKE+輸液線," ""愛西優""可來福藥物準備系統組件-3路輸液管含無針密閉接頭+輸液線含SPIKE*1 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3226, 個,431.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH226U2,CEE01,DRUG　PREPARATION　SYSTEM:W/3　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/3路輸液管含SPIROS接頭*3+SPIKE+輸液線," ""ICU""CLAVE DRUG PREPARATION SYSTEM""愛喜優""克萊福藥物準備系統組件-3路輸液管含無針密閉接頭+輸液線含SPIKE*1",CH3226, 個,431.0,森昌,衛署醫器輸字第020658號
111, CEE01CH326U2,CEE01,DRUG　PREPARATION　SYSTEM:W/3　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/3路輸液管含SPIROS接頭*3+SPIKE+輸液線," ""愛喜優""克萊福藥物準備系統組件-3路輸液管含無針密閉接頭+輸液線含SPIKE*1""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3226, 個,431.0,森昌,衛部醫器輸字第028580號
111, CEE01NVC13Q4,CEE01,DRUG　PREPARATION　SYSTEM:W/2　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/2路輸液管含SPIROS接頭*2+SPIKE+輸液線, “尼得立斯”藥物準備系統輸液接頭- 一對二安全輸液管“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE- TWO WAYS  SAFETY INFUSION SET,IVC013；IVC013(IVC016;IVC021自1100101生效), 個,311.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH127U2,CEE01,DRUG　PREPARATION　SYSTEM:W/2　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/2路輸液管含SPIROS接頭*2+SPIKE+輸液線," ""愛西優""可來福藥物準備系統組件-2路輸液管含無針密閉接頭+輸液線含SPIKE*1 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3227, 個,311.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH227U2,CEE01,DRUG　PREPARATION　SYSTEM:W/2　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/2路輸液管含SPIROS接頭*2+SPIKE+輸液線," ""ICU""CLAVE DRUG PREPARATION SYSTEM""愛喜優""克萊福藥物準備系統組件-2路輸液管含無針密閉接頭+輸液線含SPIKE*1",CH3227, 個,311.0,森昌,衛署醫器輸字第020658號
111, CEE01CH327U2,CEE01,DRUG　PREPARATION　SYSTEM:W/2　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/2路輸液管含SPIROS接頭*2+SPIKE+輸液線," ""愛喜優""克萊福藥物準備系統組件-2路輸液管含無針密閉接頭+輸液線含SPIKE*1""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3227, 個,311.0,森昌,衛部醫器輸字第028580號
111, CEE01NVC12Q4,CEE01,DRUG　PREPARATION　SYSTEM:W/1　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/1路輸液管含SPIROS接頭*1+SPIKE+輸液線, “尼得立斯”藥物準備系統輸液接頭-一對一安全輸液管“NEEDLELESS” DRUG PREPARATION SYSTEM AND NEEDLELESS INJECTION ACCESS DEVICE- ONE WAY SAFETY INFUSION SET,IVC012；IVC012(IVC015;IVC020自1100101生效), 個,204.0,尼得立斯,衛部醫器製字第005723號
111, CEE01CH387U2,CEE01,DRUG　PREPARATION　SYSTEM:W/1　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/1路輸液管含SPIROS接頭*1+SPIKE+輸液線," ""愛西優""可來福藥物準備系統組件-輸液管含無針密閉接頭+輸液線含SPIKE*1 ""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3187, 個,204.0,艾希優,衛部醫器輸字第028861號
111, CEE01CH187U2,CEE01,DRUG　PREPARATION　SYSTEM:W/1　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/1路輸液管含SPIROS接頭*1+SPIKE+輸液線," ""愛喜優""克萊福藥物準備系統組件-輸液管含無針密閉接頭+輸液線含SPIKE*1""ICU"" CHEMOCLAVE DRUG PREPARATION SYSTEM",CH3187, 個,204.0,森昌,衛部醫器輸字第028580號
111, CEE01CH318U2,CEE01,DRUG　PREPARATION　SYSTEM:W/1　SPIROS，BAG　SPIKE，PLUG　ADAPTER化療藥物準備系統/1路輸液管含SPIROS接頭*1+SPIKE+輸液線," ""ICU""CLAVE DRUG PREPARATION SYSTEM""愛喜優""克萊福藥物準備系統組件-輸液管含無針密閉接頭+輸液線含SPIKE*1",CH3187, 個,204.0,森昌,衛署醫器輸字第020658號
111, CFB01HBDW1CK,CFB01,消化道氣球擴張導管, “曲克”賀寇李斯帶導線三段擴張氣球“COOK” HERCULES WIRE GUIDED 3-STAGE DILATION BALLOON,HBD-W-8-9-10;HBD-W-10-11-12;HBD-W-12-13.5-15;HBD-W-15-16.5-18;HBD-W-18-19-20, 組,10226.0,曲克,衛署醫器輸字第021604號
111, CFB01AMBB2HF,CFB01,消化道氣球擴張導管, “微創”三段擴張氣球導管“MICRO-TECH” DISPOSABLE MULTISTAGE DILATION BALLOON CATHETER,MBD-AM-BB-2;MBD-BM-BB-2;MBD-CM-BB-2;MBD-DM-BB-2;MBD-EM-BB-2;MBD-FM-BB-2;MBD-AM-BA-2;MBD-BM-BA-2;MBD-CM-BA-2;MBD-DM-BA-2;MBD-EM-BA-2;MBD-FM-BA-2;MBD-AL-BA-2;MBD-BL-BA-2;MBD-CL-BA-2;MBD-DL-BA-2;MBD-EL-BA-2;MBD-FL-BA-2;MBD-AS-BB-2;MBD-BS-BB-2;MBD-CS-BB-2;MBD-DS-BB-2, 組,10226.0,艾柏,衛部醫器陸輸字第000909號
111, CFB01BDC18HF,CFB01,消化道氣球擴張導管, “微創”拋棄式擴張氣球“MICRO-TECH” DISPOSABLE DILATION BALLOON,BDC-(6/55;6/80;8/55;8/80;10/30;10/55;10/80;12/30;12/55;12/80;15/55;15/80;18/55;18/80;20/55;20/80;25/55;25/80;30/55;30/80;40/55;40/80)-(7/6;7/10;7/18;7/24), 組,10226.0,艾柏,衛部醫器陸輸字第000821號
111, CFB01ES341FG,CFB01,消化道氣球擴張導管, “福萊克斯”氣球擴張導管“ENDO-FLEX” BALLOON DILATOR,3413080;3413580;3414080    , 組,10226.0,利和醫療設備,衛署醫器輸字第023714號
111, CFB01310294G,CFB01,消化道氣球擴張導管, “美迪格”三段式擴張球囊(單次使用)“MEDI-GLOBE” MULTI-STAGE DILATION BALLOON (SINGLE USE),GDB-04-08-080;GDB-04-10-080;GDB-04-12-080;GDB-04-15-080;GDB-04-18-080;GDB-04-20-080;GDB-03-08-080;GDB-03-10-080;GDB-03-12-080;GDB-03-15-080;GDB-03-18-080;GDB-03-20-080;GDB-04-08-055;GDB-04-10-055;GDB-04-12-055;GDB-04-15-055;GDB-04-18-055;GDB-04-20-055, 組,10226.0,明達醫學,衛部醫器輸字第031029號
111, CFB0100340CH,CFB01,消化道氣球擴張導管, “康美”艾利氣球擴張器“CONMED”ELIMINATOR PET BALLOON DILATORS,000340;000341;000342;000343;000344;000345;000380, 組,10226.0,春菖,衛署醫器輸字第018444號
111, CFB01CRE35SB,CFB01,消化道氣球擴張導管," ""波士頓科技"" 消化道氣球擴張導管""BOSTON SCIENTIFIC"" CRE BALLOON DILATATION CATHETER",M00558330;M00558340;M00558350;M00558360;M00558370;M00558380;M00558390;M00558400;M00558410;M00558420;M00558430;M00558440;M00558450;M00558460;M00558470;M00558480;M00558490;M00558500, 組,10226.0,荷商波士頓,衛署醫器輸字第011468號
111, CFB01CREPRSB,CFB01,消化道氣球擴張導管," ""波士頓科技""希爾意消化道氣球擴張導管""BOSTON SCIENTIFIC"" CRE PRO BALLOON DILATATION CATHETER",M00558600;M00558610;M00558620;M00558630;M00558640;M00558650;M00558660;M00558670;M00558680;M00558690;M00558700;M00558710, 組,10226.0,荷商波士頓,衛部醫器輸字第025513號
111, CFB01CRERGSB,CFB01,消化道氣球擴張導管," ""波士頓科技""單次使用擴張氣球導管""BOSTON SCIENTIFIC""RIGIFLEX II SINGLE USE ACHALASIA BALLOON DILATOR",M00554500;M00554510;M00554520, 組,10226.0,荷商波士頓,衛署醫器輸字第017760號
111, CFD01888472C,CFD01,十二指腸灌食管整組(含STYLET)," ""柯惠""鼻胃管""COVIDIEN"" FEEDING TUBES",8884720858;8884721088;8884721252, 條,450.0,科舉,衛署醫器輸字第013572號
111, CFD0179801FL,CFD01,十二指腸灌食管整組(含STYLET), AG FREKA FEEDING TUBE SET 15FR. 100CM 艾極管灌餵食管袋組合套 *適應症請見備註欄,7980111, SET,450.0,費森尤斯卡比,衛署醫器輸字第017729號
111, CFD0120936CU,CFD01,十二指腸灌食管整組(含STYLET)," ""愛諾生"" 可福樂管灌餵食管""Avanos"" CORFLO Enteral Feeding Tubes",20-9366;20-9368;20-9361, SET,450.0,德業聚,衛署醫器輸字第019246號
111, CFD0120943CU,CFD01,十二指腸灌食管整組(含STYLET)," CORFLO ENTERAL FEEDING TUBE 43"" 8FR;10FR;12FR(含STYLE)※限G-I手術後併G-I TRACT溢漏或吻合須NPO者",20-9438;20-9431;20-9432, SET,450.0,德業聚,衛署醫器輸字第019246號
111, CFD0120955CU,CFD01,十二指腸灌食管整組(含STYLET)," ""CORPAK""CORFLO ENTERAL FEEDING TUBES""蔻沛""可福樂管灌餵食管",20-9558;20-9551, EA,450.0,德業聚,衛署醫器輸字第019246號
111, CFD01BSTPUEE,CFD01,十二指腸灌食管/條, ENTERAL FEEDING TUBE 8，10，12，14，16FGX125CM*適應症請見備註欄,BSTPU08;BSTPU10;BSTPU12;BSTPU14;BSTPU16, EA,125.0,新豐生醫,衛署醫器製字第001472號
111, CFD0202308P2,CFD02,成人矽質胃管-14FR(含)以上," ""太平洋""胃管-14FR~18FR""PAHSCO"" STOMACH TUBE-14FR~18FR",I02308;I02310;I02312;I02314;I02316;I02318;(I02320;I02322自1020701刪除)(I02308;I02310;I02312自1060401刪除), 條,65.6,太平洋,衛署醫器製字第003469號
111, CFD02ST000EF,CFD02,成人矽質胃管-14FR(含)以上," ""貝斯美德""矽質胃管-14FR~18FR""BESMED"" SILICONE STOMACH TUBING-14FR~18FR",ST-0006;ST-0008;ST-0010;ST-0012;ST-0014;ST-0016;ST-0018(ST-0006;ST-0008;ST-0010;ST-0012自1060401刪除), 條,65.6,貝斯美德,衛署醫器製字第001717號
111, CFD0222073WN,CFD02,成人矽質胃管-14FR(含)以上," ""世運""矽質胃管附蓋子-14FR~18FR""SEWOON"" GASTROINTESTINAL TUBE AND CATHETER(SILICONE)-14FR~18FR",2207-010(3);2207-012(3);2207-014(3);2207-016(3);2207-018(3)(2207-010(3);2207-012(3)自1060401刪除), 條,65.6,明惠,衛署醫器輸字第014128號
111, CFD0216120W6,CFD02,成人矽質胃管-14FR(含)以上," ""綠十字"" 矽質胃管-14FR~22FR""GREEN CROSS"" SILICONE STOMACH TUBE-14FR~22FR",YJ-109(規格為14FR:18FR，原規格6FR:12FR自1060401刪除), 條,65.6,益江,衛署醫器陸輸字第000086號
111, CFD022020NFM,CFD02,成人矽質胃管-14FR(含)以上," ""富強""胃管-14FR~20FR""FORTUNE"" STOMACH (GASTRIC) TUBE-14FR~20FR",2020-006:18;(2020-0004;0005;0020;自970401生效)(2020-0004:12自1060401刪除), 條,65.6,富強,衛署醫器製字第001039號
111, CFD02M7ST2MU,CFD02,成人矽質胃管-14FR(含)以上," ""華新""一次性使用胃管-14FR~22FR""MODERN"" STOMACH TUBE-14FR~22FR",411006:411022(411006:411012自1060401刪除), 條,65.6,華新,衛署醫器陸輸字第000306號
111, CFD02GT301EW,CFD02,成人矽質胃管-14FR(含)以上, 毅升一次性使用胃管-14FR~18FR  E-UP STOMACH TUBE(SILICON)-14FR~18FR,(GC082TO;GC102TO;GC122TO;GC142TO;GC162TO;GC182TO自1060401刪除)(GC142T;GC162T;GC182T自1060401生效), 條,65.6,毅升,衛署醫器陸輸字第000291號
111, CFD0202309P2,CFD02,兒童矽質胃管-8FR~12FR," ""太平洋""胃管-8FR~12FR""PAHSCO"" STOMACH TUBE-8FR~12FR",I02308;I02310;I02312, 條,75.0,太平洋,衛署醫器製字第003469號
111, CFD02ST812EF,CFD02,兒童矽質胃管-8FR~12FR," ""貝斯美德""矽質胃管""BESMED"" SILICONE STOMACH TUBING",ST-0008(ST-90080);ST-0010(ST-90100);ST-0012(ST-90120), 條,75.0,貝斯美德,衛署醫器製字第001717號
111, CFD022207CWN,CFD02,兒童矽質胃管-8FR~12FR," ""世運""矽質胃管附蓋子-10FR~12FR""SEWOON"" GASTROINTESTINAL TUBE AND CATHETER(SILICONE)-10FR~12FR",2207-010(3); 2207-012(3), 條,75.0,明惠,衛署醫器輸字第014128號
111, CFD0216121W6,CFD02,兒童矽質胃管-8FR~12FR," ""綠十字"" 矽質胃管-8FR~12FR""GREEN CROSS"" SILICONE STOMACH TUBE-8FR~12FR",YJ-109(規格8FR:12FR), 條,75.0,益江,衛署醫器陸輸字第000086號
111, CFD0220208FM,CFD02,兒童矽質胃管-8FR~12FR," ""富強""胃管-8FR~12FR""FORTUNE"" STOMACH (GASTRIC) TUBE-8FR~12FR",2020-0008：12, 條,75.0,富強,衛署醫器製字第001039號
111, CFD02GT302EW,CFD02,兒童矽質胃管-8FR~12FR, 毅升一次性使用胃管-8FR~12FR  E-UP STOMACH TUBE(SILICON)-8FR~12FR,GC082T;GC102T;GC122T, 條,75.0,毅升,衛署醫器陸輸字第000291號
111, CFD0220204FM,CFD02,早產/新生兒矽質胃管-6FR(含)以下," ""富強""胃管-4FR~6FR""FORTUNE"" STOMACH (GASTRIC) TUBE-4FR~6FR",2020-0004：6, 條,150.0,富強,衛署醫器製字第001039號
111, CFD04NJFT1CK,CFD04,由內視鏡經鼻腔空腸餵食管NASAL JEJUNAL FEEDING TUBE(含導線、餵食管、鼻引導管、餵食管接頭）," ""COOK""NASAL JEJUNAL FEEDING TUBE(含導線、餵食管、鼻引導管、餵食管接頭）""曲克""經鼻腔空腸餵食管※適應症請見備註欄",NJFT-8;NJFT-10, SET,2665.0,曲克,衛署醫器輸字第014034號
111, CFD04FREKAFL,CFD04,多功能經鼻腔空腸餵食管(具空腸餵食管、胃液引流減壓管、壓力調節管), 艾極管灌餵食管袋組合套-多功能鼻腸管 AG FREKA FEEDING TUBE SET-FREKA TRELUMINA,7750911, 組,4300.0,費森尤斯卡比,衛署醫器輸字第017729號
111, CFD05BPU08EE,CFD05,聚胺酯胃管PU Stomach Catheter, PU STOMACH CATHETER 聚胺酯胃管 ※適應症請見備註欄,BPU08:BPU10;BPU12;BPU14;BPU16;BPU18, EA,115.0,新豐化工,衛署醫器製字第002088號
111, CFD0600627BA,CFD06,PEGKIT胃造口術裝置組/首次使用(全套-PEGTUBE，SNARE，ADAPTER，RING，INTRODUCERNEEDLE，WIRE，CLAMP)," ""BARD""PONSKY PULL PEG DELUXE KIT (TUBE+WIRE+S+N+ADAP+BOL+SNARE+SCISSOR)""巴德""經皮內視鏡胃造口組(全套)",627, SET,4446.0,巴德,衛署醫器輸字第012678號
111, CFD060640N9K,CFD06,PEGKIT胃造口術裝置組/首次使用(全套-PEGTUBE，SNARE，ADAPTER，RING，INTRODUCERNEEDLE，WIRE，CLAMP)," ""愛諾生"" 經皮內視鏡胃造?組(全套)“AVANOS” PERCUTANEOUS ENDOSCOPIC GASTROSTOMY KIT (PEG KIT)",0640-14;0640-20;0640-24, 組,4446.0,世新,衛署醫器輸字第016781號
111, CFD06FLW01CK,CFD06,PEGKIT胃造口術裝置組/首次使用(全套-PEGTUBE，SNARE，ADAPTER，RING，INTRODUCERNEEDLE，WIRE，CLAMP), PERCUTANEOUS ENDOSCOPIC GASTROSTOMY SYSTEM 經皮內視鏡胃造口術系統(含FEEDING TUBE+鬱金香形頭+藍色導線+(A+N+D)※適應症請見備註欄,FLOW-20-PULL-I-S, SET,4446.0,曲克,衛署醫器輸字第021251號
111, CFD06PEG01CK,CFD06,PEGKIT胃造口術裝置組/首次使用(全套-PEGTUBE，SNARE，ADAPTER，RING，INTRODUCERNEEDLE，WIRE，CLAMP), PERCUTANEOUS ENDOSCOPIC GASTROSTOMY SYSTEM 胃造口術裝置組(含FEEDING TUBE+鬱金香形頭+藍色導線+(ADAPTER+ NEEDLE+DILATOR)※適應症請見備註欄,PEG-24-PULL-S;(PEG-24-PULL-I自991001生效);(PEG-24-PULL-I-S自1000101生效), SET,4446.0,曲克,衛署醫器輸字第010741號
111, CFD0679010FL,CFD06,PEGKIT胃造口術裝置組/首次使用(全套-PEGTUBE，SNARE，ADAPTER，RING，INTRODUCERNEEDLE，WIRE，CLAMP), PEG KIT(全套，含所材料在內)經皮內視鏡胃造廔組（PEG TUBE，ADAPTER，RING，INTRODUCER NEEDLE，WIRE，TUBING CLAMP),7901051, SET,4446.0,費森尤斯卡比,衛署醫器輸字第017729號
